node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,n_scenarios_detected
J1,8,0,0.0,2,J,0,0,0.029411764705882353,0.0307,4.0093,30.2167,2966.85,0.006584,307
J2a,4,0,0.0,2,J,0,0,0.029411764705882353,0.0328,3.6015,28.6303,2982.21,0.010385,328
J2,3,1,0.011494,2,J,0,0,0.029411764705882353,0.0656,5.9473,34.2248,3027.75,0.010379,656
J7,6,1,0.017241,2,J,0,0,0.029411764705882353,0.0635,5.8825,34.4403,2991.66,0.008703,635
J12,4,0,0.0,2,J,0,0,0.029411764705882353,0.0306,4.7095,39.614,3054.03,0.006612,306
J13,7,0,0.0,2,J,0,0,0.029411764705882353,0.032,3.7974,30.9662,3004.45,0.008712,320
J3,8,1,0.004598,1,J,0,0,0.029411764705882353,0.0317,8.3401,67.0714,2248.57,1e-06,317
J4,7,3,0.024138,1,J,0,1,0.058823529411764705,0.099,23.941,105.846,2495.97,4e-06,990
J5,6,6,0.041379,1,J,0,0,0.029411764705882353,0.127,26.0858,98.6235,2919.07,5e-06,1270
J6,5,9,0.051724,1,J,0,0,0.029411764705882353,0.1587,29.1828,96.7501,3025.37,5e-06,1587
J8,4,10,0.045977,1,J,0,0,0.029411764705882353,0.19,36.2605,112.0787,3045.1,6e-06,1900
J9,3,11,0.037931,1,J,0,0,0.029411764705882353,0.2251,40.1218,110.4285,3213.54,7e-06,2251
J10,2,14,0.032184,1,J,0,1,0.058823529411764705,0.2785,34.7045,85.1964,3447.21,0.002606,2785
J11,1,18,0.02069,1,J,0,0,0.029411764705882353,0.3095,33.3235,75.9023,3562.26,0.005192,3095
Aux3,9,0,0.0,3,aux,2,0,0.029411764705882353,0.032,5.0035,41.4546,2959.81,0.004027,320
JI18,10,2,0.022989,1,JI,1,1,0.058823529411764705,0.124,15.9045,64.5723,2984.87,0.003974,1240
JI2,9,5,0.051724,1,JI,1,0,0.029411764705882353,0.2094,15.7358,47.1413,3027.31,0.010548,2094
JI3,8,8,0.073563,1,JI,1,0,0.029411764705882353,0.2888,13.454,33.1933,3023.39,0.01919,2888
JI4,7,11,0.088506,1,JI,1,0,0.029411764705882353,0.3543,12.2458,26.0276,3040.99,0.025603,3543
JI5,6,15,0.103448,1,JI,1,0,0.029411764705882353,0.4356,12.4416,22.6193,3045.02,0.03514,4356
JI6,8,1,0.017241,2,JI,1,0,0.029411764705882353,0.061,7.8341,46.2659,2979.58,0.004014,610
JI7,7,1,0.01954,2,JI,1,0,0.029411764705882353,0.0609,6.8065,38.2616,3090.69,0.006583,609
JI8,3,1,0.012644,2,JI,1,0,0.029411764705882353,0.0615,6.7976,42.5214,3068.75,0.006601,615
JI9,2,2,0.02069,2,JI,1,0,0.029411764705882353,0.0944,7.5445,35.4468,3031.37,0.010323,944
JI10,4,17,0.078161,1,JI,1,0,0.029411764705882353,0.2811,9.9702,55.2918,3579.36,0.032057,2811
JI11,3,18,0.062069,1,JI,1,0,0.029411764705882353,0.0759,8.3078,52.439,3748.11,0.030378,759
JI12,2,19,0.043678,1,JI,1,0,0.029411764705882353,0.0485,8.1039,55.5596,4634.39,0.026435,485
JI13,1,20,0.022989,1,JI,1,0,0.029411764705882353,0.0538,6.1767,44.2992,4710.43,0.022191,538
O1,0,19,0.0,1,outfall,3,0,0.029411764705882353,0.3084,33.1642,75.5909,3561.96,0.005153,3084
O2,0,21,0.0,1,outfall,3,0,0.029411764705882353,0.025,0.7187,3.1346,4968.9,0.020976,250
Well,5,16,0.091954,1,storage,4,0,0.029411764705882353,0.3006,3.4726,4.5647,3167.29,0.034637,3006
